id,title,description,category,subcategory,subsubcategory
1617,Count Subtrees With Max Distance Between Cities,"There are n cities numbered from 1 to n. You are given an array edges of size n-1, where edges[i] = [ui, vi] represents a bidirectional edge between cities ui and vi. There exists a unique path between each pair of cities. In other words, the cities form a tree.

A subtree is a subset of cities where every city is reachable from every other city in the subset, where the path between each pair passes through only the cities from the subset. Two subtrees are different if there is a city in one subtree that is not present in the other.

For each d from 1 to n-1, find the number of subtrees in which the maximum distance between any two cities in the subtree is equal to d.

Return an array of size n-1 where the dth element (1-indexed) is the number of subtrees in which the maximum distance between any two cities is equal to d.

Notice that the distance between the two cities is the number of edges in the path between them.

 
",Graphs,Basic Graph Traversal,Depth-First Search (DFS)
1618,Maximum Font to Fit a Sentence in a Screen,,Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
1620,Coordinate With Maximum Network Quality,"You are given an array of network towers towers, where towers[i] = [xi, yi, qi] denotes the ith network tower with location (xi, yi) and quality factor qi. All the coordinates are integral coordinates on the X-Y plane, and the distance between the two coordinates is the Euclidean distance.You are also given an integer radius where a tower is reachable if the distance is less than or equal to radius. Outside that distance, the signal becomes garbled, and the tower is not reachable.The signal quality of the ith tower at a coordinate (x, y) is calculated with the formula &lfloor;qi / (1 + d)&rfloor;, where d is the distance between the tower and the coordinate. The network quality at a coordinate is the sum of the signal qualities from all the reachable towers.Return the array [cx, cy] representing the integral coordinate (cx, cy) where the network quality is maximum. If there are multiple coordinates with the same network quality, return the lexicographically minimum non-negative coordinate.Note:	A coordinate (x1, y1) is lexicographically smaller than (x2, y2) if either:			x1 		x1 == x2 and y1 			&lfloor;val&rfloor; is the greatest integer less than or equal to val (the floor function). ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
1621,Number of Sets of K Non-Overlapping Line Segments,"Given n points on a 1-D plane, where the ith point (from 0 to n-1) is at x = i, find the number of ways we can draw exactly k non-overlapping line segments such that each segment covers two or more points. The endpoints of each segment must have integral coordinates. The k line segments do not have to cover all n points, and they are allowed to share endpoints.Return the number of ways we can draw k non-overlapping line segments. Since this number can be huge, return it modulo 109 + 7. ",Dynamic Programming (DP),2D DP,Matrix Path Problems
1622,Fancy Sequence,"Write an API that generates fancy sequences using the append, addAll, and multAll operations.Implement the Fancy class:	Fancy() Initializes the object with an empty sequence.	void append(val) Appends an integer val to the end of the sequence.	void addAll(inc) Increments all existing values in the sequence by an integer inc.	void multAll(m) Multiplies all existing values in the sequence by an integer m.	int getIndex(idx) Gets the current value at index idx (0-indexed) of the sequence modulo 109 + 7. If the index is greater or equal than the length of the sequence, return -1. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1623,All Valid Triplets That Can Represent a Country,,Arrays & Strings,Two Pointers,Finding Pairs & Subarrays
1624,Largest Substring Between Two Equal Characters,"Given a string s, return the length of the longest substring between two equal characters, excluding the two characters. If there is no such substring return -1.A substring is a contiguous sequence of characters within a string. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
1625,Lexicographically Smallest String After Applying Operations,"You are given a string s of even length consisting of digits from 0 to 9, and two integers a and b.You can apply either of the following two operations any number of times and in any order on s:	Add a to all odd indices of s (0-indexed). Digits post 9 are cycled back to 0. For example, if s = &quot;3456&quot; and a = 5, s becomes &quot;3951&quot;.	Rotate s to the right by b positions. For example, if s = &quot;3456&quot; and b = 1, s becomes &quot;6345&quot;.Return the lexicographically smallest string you can obtain by applying the above operations any number of times on s.A string a is lexicographically smaller than a string b (of the same length) if in the first position where a and b differ, string a has a letter that appears earlier in the alphabet than the corresponding letter in b. For example, &quot;0158&quot; is lexicographically smaller than &quot;0190&quot; because the first position they differ is at the third letter, and &#39;5&#39; comes before &#39;9&#39;. ",Arrays & Strings,Basic Manipulation,Reversal & Rotation
1626,Best Team With No Conflicts,"You are the manager of a basketball team. For the upcoming tournament, you want to choose the team with the highest overall score. The score of the team is the sum of scores of all the players in the team.However, the basketball team is not allowed to have conflicts. A conflict exists if a younger player has a strictly higher score than an older player. A conflict does not occur between players of the same age.Given two lists, scores and ages, where each scores[i] and ages[i] represents the score and age of the ith player, respectively, return the highest overall score of all possible basketball teams. ",Dynamic Programming (DP),1D DP,Maximum Subarray Problems
1627,Graph Connectivity With Threshold,"We have n cities labeled from 1 to n. Two different cities with labels x and y are directly connected by a bidirectional road if and only if x and y share a common divisor strictly greater than some threshold. More formally, cities with labels x and y have a road between them if there exists an integer z such that all of the following are true:	x % z == 0,	y % z == 0, and	z > threshold.Given the two integers, n and threshold, and an array of queries, you must determine for each queries[i] = [ai, bi] if cities ai and bi are connected directly or indirectly. (i.e. there is some path between them).Return an array answer, where answer.length == queries.length and answer[i] is true if for the ith query, there is a path between ai and bi, or answer[i] is false if there is no path. ",Graphs,Basic Graph Traversal,Connected Components
1628,Design an Expression Tree With Evaluate Function,,Trees,Binary Trees,"Traversal (Inorder, Preorder, Postorder, Level Order)"
1631,Path With Minimum Effort,"You are a hiker preparing for an upcoming hike. You are given heights, a 2D array of size rows x columns, where heights[row][col] represents the height of cell (row, col). You are situated in the top-left cell, (0, 0), and you hope to travel to the bottom-right cell, (rows-1, columns-1) (i.e., 0-indexed). You can move up, down, left, or right, and you wish to find a route that requires the minimum effort.A route&#39;s effort is the maximum absolute difference in heights between two consecutive cells of the route.Return the minimum effort required to travel from the top-left cell to the bottom-right cell. ",Graphs,Shortest Paths,Dijkstra's Algorithm
1632,Rank Transform of a Matrix,"Given an m x n matrix, return a new matrix answer where answer[row][col] is the rank of matrix[row][col].The rank is an integer that represents how large an element is compared to other elements. It is calculated using the following rules:	The rank is an integer starting from 1.	If two elements p and q are in the same row or column, then:			If p 		If p == q then rank(p) == rank(q)		If p > q then rank(p) > rank(q)			The rank should be as small as possible.The test cases are generated so that answer is unique under the given rules. ",Graphs,Basic Graph Traversal,Connected Components
1634,Add Two Polynomials Represented as Linked Lists,,Linked Lists,Advanced Linked List Problems,Operations with Multiple Lists
1638,Count Substrings That Differ by One Character,"Given two strings s and t, find the number of ways you can choose a non-empty substring of s and replace a single character by a different character such that the resulting substring is a substring of t. In other words, find the number of substrings in s that differ from some substring in t by exactly one character.For example, the underlined substrings in &quot;computer&quot; and &quot;computation&quot; only differ by the &#39;e&#39;/&#39;a&#39;, so this is a valid way.Return the number of substrings that satisfy the condition above.A substring is a contiguous sequence of characters within a string. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1639,Number of Ways to Form a Target String Given a Dictionary,"You are given a list of strings of the same length words and a string target.Your task is to form target using the given words under the following rules:	target should be formed from left to right.	To form the ith character (0-indexed) of target, you can choose the kth character of the jth string in words if target[i] = words[j][k].	Once you use the kth character of the jth string of words, you can no longer use the xth character of any string in words where x 	Repeat the process until you form the string target.Notice that you can use multiple characters from the same string in words provided the conditions above are met.Return the number of ways to form target from words. Since the answer may be too large, return it modulo 109 + 7. ",Dynamic Programming (DP),2D DP,Longest Common Subsequence (LCS)
1640,Check Array Formation Through Concatenation,"You are given an array of distinct integers arr and an array of integer arrays pieces, where the integers in pieces are distinct. Your goal is to form arr by concatenating the arrays in pieces in any order. However, you are not allowed to reorder the integers in each array pieces[i].Return true if it is possible to form the array arr from pieces. Otherwise, return false. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
1641,Count Sorted Vowel Strings,"Given an integer n, return the number of strings of length n that consist only of vowels (a, e, i, o, u) and are lexicographically sorted.A string s is lexicographically sorted if for all valid i, s[i] is the same as or comes before s[i+1] in the alphabet. ",Dynamic Programming (DP),1D DP,Fibonacci-like Sequences
1642,Furthest Building You Can Reach,"You are given an integer array heights representing the heights of buildings, some bricks, and some ladders.You start your journey from building 0 and move to the next building by possibly using bricks or ladders.While moving from building i to building i+1 (0-indexed),	If the current building&#39;s height is greater than or equal to the next building&#39;s height, you do not need a ladder or bricks.	If the current building&#39;s height is less than the next building&#39;s height, you can either use one ladder or (h[i+1] - h[i]) bricks.Return the furthest building index (0-indexed) you can reach if you use the given ladders and bricks optimally. ",Heaps (Priority Queues),Heap Applications,Kth Largest/Smallest Element
1643,Kth Smallest Instructions,"Bob is standing at cell (0, 0), and he wants to reach destination: (row, column). He can only travel right and down. You are going to help Bob by providing instructions for him to reach destination.The instructions are represented as a string, where each character is either:	&#39;H&#39;, meaning move horizontally (go right), or	&#39;V&#39;, meaning move vertically (go down).Multiple instructions will lead Bob to destination. For example, if destination is (2, 3), both &quot;HHHVV&quot; and &quot;HVHVH&quot; are valid instructions.However, Bob is very picky. Bob has a lucky number k, and he wants the kth lexicographically smallest instructions that will lead him to destination. k is 1-indexed.Given an integer array destination and an integer k, return the kth lexicographically smallest instructions that will take Bob to destination. ",Dynamic Programming (DP),2D DP,Matrix Path Problems
1644,Lowest Common Ancestor of a Binary Tree II,,Trees,Tree Algorithms,Lowest Common Ancestor (LCA)
1645,Hopper Company Queries II,,Dynamic Programming (DP),1D DP,Fibonacci-like Sequences
1646,Get Maximum in Generated Array,You are given an integer n. A 0-indexed integer array nums of length n + 1 is generated in the following way:	nums[0] = 0	nums[1] = 1	nums[2 * i] = nums[i] when 2 	nums[2 * i + 1] = nums[i] + nums[i + 1] when 2 Return the maximum integer in the array nums​​​. ,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1647,Minimum Deletions to Make Character Frequencies Unique,"A string s is called good if there are no two different characters in s that have the same frequency.Given a string s, return the minimum number of characters you need to delete to make s good.The frequency of a character in a string is the number of times it appears in the string. For example, in the string &quot;aab&quot;, the frequency of &#39;a&#39; is 2, while the frequency of &#39;b&#39; is 1. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1648,Sell Diminishing-Valued Colored Balls,"You have an inventory of different colored balls, and there is a customer that wants orders balls of any color.The customer weirdly values the colored balls. Each colored ball&#39;s value is the number of balls of that color you currently have in your inventory. For example, if you own 6 yellow balls, the customer would pay 6 for the first yellow ball. After the transaction, there are only 5 yellow balls left, so the next yellow ball is then valued at 5 (i.e., the value of the balls decreases as you sell more to the customer).You are given an integer array, inventory, where inventory[i] represents the number of balls of the ith color that you initially own. You are also given an integer orders, which represents the total number of balls that the customer wants. You can sell the balls in any order.Return the maximum total value that you can attain after selling orders colored balls. As the answer may be too large, return it modulo 109 + 7. ",Greedy Algorithms,Optimization Problems,Fractional Knapsack
1649,Create Sorted Array through Instructions,"Given an integer array instructions, you are asked to create a sorted array from the elements in instructions. You start with an empty container nums. For each element from left to right in instructions, insert it into nums. The cost of each insertion is the minimum of the following:


	The number of elements currently in nums that are strictly less than instructions[i].
	The number of elements currently in nums that are strictly greater than instructions[i].


For example, if inserting element 3 into nums = [1,2,3,5], the cost of insertion is min(2, 1) (elements 1 and 2 are less than 3, element 5 is greater than 3) and nums will become [1,2,3,3,5].

Return the total cost to insert all elements from instructions into nums. Since the answer may be large, return it modulo 109 + 7

 
",Arrays & Strings,Advanced Array/String Techniques,Element Counting & Frequency
1650,Lowest Common Ancestor of a Binary Tree III,,Trees,Tree Algorithms,Lowest Common Ancestor (LCA)
1651,Hopper Company Queries III,,Arrays & Strings,Advanced Array/String Techniques,Prefix/Suffix Sums
1652,Defuse the Bomb,"You have a bomb to defuse, and your time is running out! Your informer will provide you with a circular array code of length of n and a key k.To decrypt the code, you must replace every number. All the numbers are replaced simultaneously.	If k > 0, replace the ith number with the sum of the next k numbers.	If k th number with the sum of the previous k numbers.	If k == 0, replace the ith number with 0.As code is circular, the next element of code[n-1] is code[0], and the previous element of code[0] is code[n-1].Given the circular array code and an integer key k, return the decrypted code to defuse the bomb! ",Arrays & Strings,Basic Manipulation,Sliding Window
1653,Minimum Deletions to Make String Balanced,"You are given a string s consisting only of characters &#39;a&#39; and &#39;b&#39;​​​​.You can delete any number of characters in s to make s balanced. s is balanced if there is no pair of indices (i,j) such that i < j and s[i] = &#39;b&#39; and s[j]= &#39;a&#39;.Return the minimum number of deletions needed to make s balanced. ",Dynamic Programming (DP),1D DP,Maximum Subarray Problems
1654,Minimum Jumps to Reach Home,"A certain bug&#39;s home is on the x-axis at position x. Help them get there from position 0.The bug jumps according to the following rules:	It can jump exactly a positions forward (to the right).	It can jump exactly b positions backward (to the left).	It cannot jump backward twice in a row.	It cannot jump to any forbidden positions.The bug may jump forward beyond its home, but it cannot jump to positions numbered with negative integers.Given an array of integers forbidden, where forbidden[i] means that the bug cannot jump to the position forbidden[i], and integers a, b, and x, return the minimum number of jumps needed for the bug to reach its home. If there is no possible sequence of jumps that lands the bug on position x, return -1. ",Graphs,Basic Graph Traversal,Breadth-First Search (BFS)
1655,Distribute Repeating Integers,"You are given an array of n integers, nums, where there are at most 50 unique values in the array. You are also given an array of m customer order quantities, quantity, where quantity[i] is the amount of integers the ith customer ordered. Determine if it is possible to distribute nums such that:	The ith customer gets exactly quantity[i] integers,	The integers the ith customer gets are all equal, and	Every customer is satisfied.Return true if it is possible to distribute nums according to the above conditions. ",Backtracking,Constraint Satisfaction,Word Search
1656,Design an Ordered Stream,"There is a stream of n (idKey, value) pairs arriving in an arbitrary order, where idKey is an integer between 1 and n and value is a string. No two pairs have the same id.Design a stream that returns the values in increasing order of their IDs by returning a chunk (list) of values after each insertion. The concatenation of all the chunks should result in a list of the sorted values.Implement the OrderedStream class:	OrderedStream(int n) Constructs the stream to take n values.	String[] insert(int idKey, String value) Inserts the pair (idKey, value) into the stream, then returns the largest possible chunk of currently inserted values that appear next in the order. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1657,Determine if Two Strings Are Close,"Two strings are considered close if you can attain one from the other using the following operations:	Operation 1: Swap any two existing characters.			For example, abcde -> aecdb			Operation 2: Transform every occurrence of one existing character into another existing character, and do the same with the other character.			For example, aacabb -> bbcbaa (all a&#39;s turn into b&#39;s, and all b&#39;s turn into a&#39;s)		You can use the operations on either string as many times as necessary.Given two strings, word1 and word2, return true if word1 and word2 are close, and false otherwise. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1659,Maximize Grid Happiness,"You are given four integers, m, n, introvertsCount, and extrovertsCount. You have an m x n grid, and there are two types of people: introverts and extroverts. There are introvertsCount introverts and extrovertsCount extroverts.You should decide how many people you want to live in the grid and assign each of them one grid cell. Note that you do not have to have all the people living in the grid.The happiness of each person is calculated as follows:	Introverts start with 120 happiness and lose 30 happiness for each neighbor (introvert or extrovert).	Extroverts start with 40 happiness and gain 20 happiness for each neighbor (introvert or extrovert).Neighbors live in the directly adjacent cells north, east, south, and west of a person&#39;s cell.The grid happiness is the sum of each person&#39;s happiness. Return the maximum possible grid happiness. ",Dynamic Programming (DP),DP with Bitmasking,Subset Sum Problems
1660,Correct a Binary Tree,,Trees,Binary Trees,Search & Modification
1662,Check If Two String Arrays are Equivalent,"Given two string arrays word1 and word2, return true if the two arrays represent the same string, and false otherwise.A string is represented by an array if the array elements concatenated in order forms the string. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1663,Smallest String With A Given Numeric Value,"The numeric value of a lowercase character is defined as its position (1-indexed) in the alphabet, so the numeric value of a is 1, the numeric value of b is 2, the numeric value of c is 3, and so on.The numeric value of a string consisting of lowercase characters is defined as the sum of its characters&#39; numeric values. For example, the numeric value of the string &quot;abe&quot; is equal to 1 + 2 + 5 = 8.You are given two integers n and k. Return the lexicographically smallest string with length equal to n and numeric value equal to k.Note that a string x is lexicographically smaller than string y if x comes before y in dictionary order, that is, either x is a prefix of y, or if i is the first position such that x[i] != y[i], then x[i] comes before y[i] in alphabetic order. ",Greedy Algorithms,Optimization Problems,Minimum coins
1665,Minimum Initial Energy to Finish Tasks,"You are given an array tasks where tasks[i] = [actuali, minimumi]:	actuali is the actual amount of energy you spend to finish the ith task.	minimumi is the minimum amount of energy you require to begin the ith task.For example, if the task is [10, 12] and your current energy is 11, you cannot start this task. However, if your current energy is 13, you can complete this task, and your energy will be 3 after finishing it.You can finish the tasks in any order you like.Return the minimum initial amount of energy you will need to finish all the tasks. ",Greedy Algorithms,Scheduling Problems,Task scheduling
1666,Change the Root of a Binary Tree,,Trees,Binary Trees,Search & Modification
1668,Maximum Repeating Substring,"For a string sequence, a string word is k-repeating if word concatenated k times is a substring of sequence. The word&#39;s maximum k-repeating value is the highest value k where word is k-repeating in sequence. If word is not a substring of sequence, word&#39;s maximum k-repeating value is 0.Given strings sequence and word, return the maximum k-repeating value of word in sequence. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
1669,Merge In Between Linked Lists,"You are given two linked lists: list1 and list2 of sizes n and m respectively.Remove list1&#39;s nodes from the ath node to the bth node, and put list2 in their place.The blue edges and nodes in the following figure indicate the result:Build the result list and return its head. ",Linked Lists,Basic Operations,Insertion & Deletion
1670,Design Front Middle Back Queue,"Design a queue that supports push and pop operations in the front, middle, and back.Implement the FrontMiddleBack class:	FrontMiddleBack() Initializes the queue.	void pushFront(int val) Adds val to the front of the queue.	void pushMiddle(int val) Adds val to the middle of the queue.	void pushBack(int val) Adds val to the back of the queue.	int popFront() Removes the front element of the queue and returns it. If the queue is empty, return -1.	int popMiddle() Removes the middle element of the queue and returns it. If the queue is empty, return -1.	int popBack() Removes the back element of the queue and returns it. If the queue is empty, return -1.Notice that when there are two middle position choices, the operation is performed on the frontmost middle position choice. For example:	Pushing 6 into the middle of [1, 2, 3, 4, 5] results in [1, 2, 6, 3, 4, 5].	Popping the middle from [1, 2, 3, 4, 5, 6] returns 3 and results in [1, 2, 4, 5, 6]. ",Stacks & Queues,Advanced Stack/Queue usage,Deque applications
1671,Minimum Number of Removals to Make Mountain Array,"You may recall that an array arr is a mountain array if and only if:	arr.length >= 3	There exists some index i (0-indexed) with 0 < i < arr.length - 1 such that:			arr[0] 		arr[i] > arr[i + 1] > ... > arr[arr.length - 1]		Given an integer array nums​​​, return the minimum number of elements to remove to make nums​​​ a mountain array. ",Dynamic Programming (DP),2D DP,Longest Common Subsequence (LCS)
1672,Richest Customer Wealth,You are given an m x n integer grid accounts where accounts[i][j] is the amount of money the i​​​​​​​​​​​th​​​​ customer has in the j​​​​​​​​​​​th​​​​ bank. Return the wealth that the richest customer has.A customer&#39;s wealth is the amount of money they have in all their bank accounts. The richest customer is the customer that has the maximum wealth. ,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1673,Find the Most Competitive Subsequence,"Given an integer array nums and a positive integer k, return the most competitive subsequence of nums of size k.An array&#39;s subsequence is a resulting sequence obtained by erasing some (possibly zero) elements from the array.We define that a subsequence a is more competitive than a subsequence b (of the same length) if in the first position where a and b differ, subsequence a has a number less than the corresponding number in b. For example, [1,3,4] is more competitive than [1,3,5] because the first position they differ is at the final number, and 4 is less than 5. ",Stacks & Queues,Advanced Stack/Queue usage,Monotonic Stack
1674,Minimum Moves to Make Array Complementary,"You are given an integer array nums of even length n and an integer limit. In one move, you can replace any integer from nums with another integer between 1 and limit, inclusive.The array nums is complementary if for all indices i (0-indexed), nums[i] + nums[n - 1 - i] equals the same number. For example, the array [1,2,3,4] is complementary because for all indices i, nums[i] + nums[n - 1 - i] = 5.Return the minimum number of moves required to make nums complementary. ",Arrays & Strings,Two Pointers,Finding Pairs & Subarrays
1676,Lowest Common Ancestor of a Binary Tree IV,,Trees,Tree Algorithms,Lowest Common Ancestor (LCA)
1677,Product's Worth Over Invoices,,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1678,Goal Parser Interpretation,"You own a Goal Parser that can interpret a string command. The command consists of an alphabet of &quot;G&quot;, &quot;()&quot; and/or &quot;(al)&quot; in some order. The Goal Parser will interpret &quot;G&quot; as the string &quot;G&quot;, &quot;()&quot; as the string &quot;o&quot;, and &quot;(al)&quot; as the string &quot;al&quot;. The interpreted strings are then concatenated in the original order.Given the string command, return the Goal Parser&#39;s interpretation of command. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
1679,Max Number of K-Sum Pairs,"You are given an integer array nums and an integer k.In one operation, you can pick two numbers from the array whose sum equals k and remove them from the array.Return the maximum number of operations you can perform on the array. ",Arrays & Strings,Two Pointers,Finding Pairs & Subarrays
1680,Concatenation of Consecutive Binary Numbers,"Given an integer n, return the decimal value of the binary string formed by concatenating the binary representations of 1 to n in order, modulo 109 + 7. ",Bit Manipulation,Basic Bit Operations,Counting Set Bits
1681,Minimum Incompatibility,"You are given an integer array nums​​​ and an integer k. You are asked to distribute this array into k subsets of equal size such that there are no two equal elements in the same subset.A subset&#39;s incompatibility is the difference between the maximum and minimum elements in that array.Return the minimum possible sum of incompatibilities of the k subsets after distributing the array optimally, or return -1 if it is not possible.A subset is a group integers that appear in the array with no particular order. ",Dynamic Programming (DP),DP with Bitmasking,Subset Sum Problems
1682,Longest Palindromic Subsequence II,,Arrays & Strings,Advanced Array/String Techniques,Dynamic Programming on Arrays/Strings
1683,Invalid Tweets,"Table: Tweets+----------------+---------+| Column Name    | Type    |+----------------+---------+| tweet_id       | int     || content        | varchar |+----------------+---------+tweet_id is the primary key (column with unique values) for this table.content consists of alphanumeric characters, &#39;!&#39;, or &#39; &#39; and no other special characters.This table contains all the tweets in a social media app. Write a solution to find the IDs of the invalid tweets. The tweet is invalid if the number of characters used in the content of the tweet is strictly greater than 15.Return the result table in any order.The result format is in the following example. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1684,Count the Number of Consistent Strings,You are given a string allowed consisting of distinct characters and an array of strings words. A string is consistent if all characters in the string appear in the string allowed.Return the number of consistent strings in the array words. ,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1685,Sum of Absolute Differences in a Sorted Array,"You are given an integer array nums sorted in non-decreasing order.Build and return an integer array result with the same length as nums such that result[i] is equal to the summation of absolute differences between nums[i] and all the other elements in the array.In other words, result[i] is equal to sum(|nums[i]-nums[j]|) where 0 <= j < nums.length and j != i (0-indexed). ",Arrays & Strings,Advanced Array/String Techniques,Prefix/Suffix Sums
1686,Stone Game VI,"Alice and Bob take turns playing a game, with Alice starting first.There are n stones in a pile. On each player&#39;s turn, they can remove a stone from the pile and receive points based on the stone&#39;s value. Alice and Bob may value the stones differently.You are given two integer arrays of length n, aliceValues and bobValues. Each aliceValues[i] and bobValues[i] represents how Alice and Bob, respectively, value the ith stone.The winner is the person with the most points after all the stones are chosen. If both players have the same amount of points, the game results in a draw. Both players will play optimally. Both players know the other&#39;s values.Determine the result of the game, and:	If Alice wins, return 1.	If Bob wins, return -1.	If the game results in a draw, return 0. ",Greedy Algorithms,Optimization Problems,Minimum coins
1687,Delivering Boxes from Storage to Ports,"You have the task of delivering some boxes from storage to their ports using only one ship. However, this ship has a limit on the number of boxes and the total weight that it can carry.You are given an array boxes, where boxes[i] = [ports​​i​, weighti], and three integers portsCount, maxBoxes, and maxWeight.	ports​​i is the port where you need to deliver the ith box and weightsi is the weight of the ith box.	portsCount is the number of ports.	maxBoxes and maxWeight are the respective box and weight limits of the ship.The boxes need to be delivered in the order they are given. The ship will follow these steps:	The ship will take some number of boxes from the boxes queue, not violating the maxBoxes and maxWeight constraints.	For each loaded box in order, the ship will make a trip to the port the box needs to be delivered to and deliver it. If the ship is already at the correct port, no trip is needed, and the box can immediately be delivered.	The ship then makes a return trip to storage to take more boxes from the queue.The ship must end at storage after all the boxes have been delivered.Return the minimum number of trips the ship needs to make to deliver all boxes to their respective ports. ",Dynamic Programming (DP),1D DP,Maximum Subarray Problems
1688,Count of Matches in Tournament,"You are given an integer n, the number of teams in a tournament that has strange rules:	If the current number of teams is even, each team gets paired with another team. A total of n / 2 matches are played, and n / 2 teams advance to the next round.	If the current number of teams is odd, one team randomly advances in the tournament, and the rest gets paired. A total of (n - 1) / 2 matches are played, and (n - 1) / 2 + 1 teams advance to the next round.Return the number of matches played in the tournament until a winner is decided. ",Greedy Algorithms,Optimization Problems,Minimum coins
1689,Partitioning Into Minimum Number Of Deci-Binary Numbers,"A decimal number is called deci-binary if each of its digits is either 0 or 1 without any leading zeros. For example, 101 and 1100 are deci-binary, while 112 and 3001 are not.Given a string n that represents a positive decimal integer, return the minimum number of positive deci-binary numbers needed so that they sum up to n. ",Greedy Algorithms,Optimization Problems,Minimum coins
1690,Stone Game VII,"Alice and Bob take turns playing a game, with Alice starting first.There are n stones arranged in a row. On each player&#39;s turn, they can remove either the leftmost stone or the rightmost stone from the row and receive points equal to the sum of the remaining stones&#39; values in the row. The winner is the one with the higher score when there are no stones left to remove.Bob found that he will always lose this game (poor Bob, he always loses), so he decided to minimize the score&#39;s difference. Alice&#39;s goal is to maximize the difference in the score.Given an array of integers stones where stones[i] represents the value of the ith stone from the left, return the difference in Alice and Bob&#39;s score if they both play optimally. ",Dynamic Programming (DP),2D DP,Matrix Path Problems
1692,Count Ways to Distribute Candies,,Dynamic Programming (DP),1D DP,Fibonacci-like Sequences
1694,Reformat Phone Number,"You are given a phone number as a string number. number consists of digits, spaces &#39; &#39;, and/or dashes &#39;-&#39;.You would like to reformat the phone number in a certain manner. Firstly, remove all spaces and dashes. Then, group the digits from left to right into blocks of length 3 until there are 4 or fewer digits. The final digits are then grouped as follows:	2 digits: A single block of length 2.	3 digits: A single block of length 3.	4 digits: Two blocks of length 2 each.The blocks are then joined by dashes. Notice that the reformatting process should never produce any blocks of length 1 and produce at most two blocks of length 2.Return the phone number after formatting. ",Arrays & Strings,Basic Manipulation,Reversal & Rotation
1696,Jump Game VI,"You are given a 0-indexed integer array nums and an integer k.You are initially standing at index 0. In one move, you can jump at most k steps forward without going outside the boundaries of the array. That is, you can jump from index i to any index in the range [i + 1, min(n - 1, i + k)] inclusive.You want to reach the last index of the array (index n - 1). Your score is the sum of all nums[j] for each index j you visited in the array.Return the maximum score you can get. ",Dynamic Programming (DP),1D DP,Maximum Subarray Problems
1697,Checking Existence of Edge Length Limited Paths,"An undirected graph of n nodes is defined by edgeList, where edgeList[i] = [ui, vi, disi] denotes an edge between nodes ui and vi with distance disi. Note that there may be multiple edges between two nodes.Given an array queries, where queries[j] = [pj, qj, limitj], your task is to determine for each queries[j] whether there is a path between pj and qj such that each edge on the path has a distance strictly less than limitj .Return a boolean array answer, where answer.length == queries.length and the jth value of answer is true if there is a path for queries[j] is true, and false otherwise. ",Graphs,Minimum Spanning Trees,Kruskal's Algorithm
1698,Number of Distinct Substrings in a String,,Arrays & Strings,Advanced Array/String Techniques,"String Matching (KMP, Rabin-Karp)"
1700,Number of Students Unable to Eat Lunch,"The school cafeteria offers circular and square sandwiches at lunch break, referred to by numbers 0 and 1 respectively. All students stand in a queue. Each student either prefers square or circular sandwiches.The number of sandwiches in the cafeteria is equal to the number of students. The sandwiches are placed in a stack. At each step:	If the student at the front of the queue prefers the sandwich on the top of the stack, they will take it and leave the queue.	Otherwise, they will leave it and go to the queue&#39;s end.This continues until none of the queue students want to take the top sandwich and are thus unable to eat.You are given two integer arrays students and sandwiches where sandwiches[i] is the type of the i​​​​​​th sandwich in the stack (i = 0 is the top of the stack) and students[j] is the preference of the j​​​​​​th student in the initial queue (j = 0 is the front of the queue). Return the number of students that are unable to eat. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1702,Maximum Binary String After Change,"You are given a binary string binary consisting of only 0&#39;s or 1&#39;s. You can apply each of the following operations any number of times:	Operation 1: If the number contains the substring &quot;00&quot;, you can replace it with &quot;10&quot;.			For example, &quot;00010&quot; -> &quot;10010&quot;			Operation 2: If the number contains the substring &quot;10&quot;, you can replace it with &quot;01&quot;.			For example, &quot;00010&quot; -> &quot;00001&quot;		Return the maximum binary string you can obtain after any number of operations. Binary string x is greater than binary string y if x&#39;s decimal representation is greater than y&#39;s decimal representation. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
